sku,title,description,details,designer,mrsp,currencyId,prices,variants,optionTypes,defaultImages
0,Floral V-Neck Wrap Dress,"A fresh spring pick, this ALEXIA ADMOR wrap dress is ready for daytime events, weekend brunch or whatever.","Yellow and white crepe (100% Polyester). Wrap. Short sleeves. V-neckline. Fully lined. 35.5"" from shoulder to hemline. Imported.",Alexia Admor,199,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-16'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/8b/AAD49.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/8b/AAD49.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/8b/AAD49.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/8b/AAD49.jpg'], 'inStock': True}]",[{'size': 'Sized: 0-16'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/8b/AAD49.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/8b/AAD49.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/8b/AAD49.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/8b/AAD49.jpg']"
0,Alyssa Dress,Modern shoulders cutouts show off a bit of skin atop this flirty flared Cinq à Sept dress.,"Yellow crepe (54% Polyester, 39% Viscose, 7% Elastane). Hourglass. Short sleeves. Crew neckline. Hidden back zipper closure. Fully lined. 36"" from shoulder to hemline. Imported.",Cinq à Sept,395,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-14'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/34/CAS128.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/34/CAS128.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/34/CAS128.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/34/CAS128.jpg'], 'inStock': True}]",[{'size': 'Sized: 0-14'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/34/CAS128.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/34/CAS128.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/34/CAS128.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/34/CAS128.jpg']"
0,Red Flores Dress,"Ruffled, ruched and wrapped, this sweet hear-print AllSaints dress features a few of our favorite things.","Red polyester (100% Polyester). Wrap. Long sleeves. V-neckline. 38"" from shoulder to hemline. Imported.",AllSaints,260,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: XS-L'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/c8/ALS56.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/c8/ALS56.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/c8/ALS56.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/c8/ALS56.jpg'], 'inStock': True}]",[{'size': 'Sized: XS-L'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/c8/ALS56.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/c8/ALS56.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/c8/ALS56.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/c8/ALS56.jpg']"
0,Blue Domino Dress,"Knotted at the waist and draped just right, this sleek MISA Los Angeles dress is effortless.

Also available in Pink.","Blue chiffon (96% Polyester, 4% Spandex). Sheath. Sleeveless. V-neckline. 37"" from shoulder to hemline. Imported.",MISA Los Angeles,180,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: XS-XL'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/da/MISA1.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/da/MISA1.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/da/MISA1.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/da/MISA1.jpg'], 'inStock': True}]",[{'size': 'Sized: XS-XL'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/da/MISA1.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/da/MISA1.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/da/MISA1.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/da/MISA1.jpg']"
0,All I Need Dress,Luxe velvet furthers the alluring appeal of this svelte Free People dress styled with a tied back and thigh-high slit.,"Black velvet (89% Polyester, 11% Spandex). Hourglass. Sleeveless. Square neckline. Elastic waistband. 50"" from shoulder to hemline. 32"" from shoulder to top of slit; 18"" Slit. Imported.",Free People,118,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'This dress runs true to size. We recommend going one size up for backup (see following fit notes for exceptions).'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/e7/FP185.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/e7/FP185.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/e7/FP185.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/e7/FP185.jpg'], 'inStock': True}]",[{'size': 'This dress runs true to size. We recommend going one size up for backup (see following fit notes for exceptions).'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/e7/FP185.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/e7/FP185.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/e7/FP185.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/e7/FP185.jpg']"
0,Ruffle Lemon Dress,"When Slate & Willow gives you lemons, wear them all summer long.","White printed chiffon (100% Rayon). Hourglass. Sleeveless. V-neckline. Hidden side zipper with hook-and-eye closure. Partially lined. 38"" from shoulder to shortest hemline, 51"" from shoulder to longest hemline. Made in the USA.",Slate & Willow,325,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-14'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/f0/SW451.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/f0/SW451.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/f0/SW451.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/f0/SW451.jpg'], 'inStock': True}]",[{'size': 'Sized: 0-14'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/f0/SW451.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/f0/SW451.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/f0/SW451.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/f0/SW451.jpg']"
0,Blue Faux Wrap Sheath,"Eye-catching and sophisticated, this Slate & Willow sheath dress features puffed shoulders and a wrapped waist.","Blue (100% Silk). Sheath. Long sleeves. V-neckline. Hidden back zipper closure. 43"" from shoulder to hemline. Imported.",Slate & Willow,119,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: XS-XXL'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/b5/SW612.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/b5/SW612.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/b5/SW612.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/b5/SW612.jpg'], 'inStock': True}]",[{'size': 'Sized: XS-XXL'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/b5/SW612.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/b5/SW612.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/b5/SW612.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/b5/SW612.jpg']"
0,Katie Dress,Subtle detailing and the hourglass shape takes this dress from simple to sophisticated. Style with the Pearl Copacabana Earrings by Lele Sadoughi.,"Blue crepe (91% Polyester, 9% Spandex). Hourglass. Long sleeves. Crew neckline. Hidden back zipper closure. Partially lined. 35"" from shoulder to hemline. Imported.",Parker,318,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-16'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/51/PK305.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/51/PK305.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/51/PK305.jpg', 'https://pc-ap.rtrcdn.com/productimages/front_plus/183x/51/PK305.jpg'], 'inStock': True}]",[{'size': 'Sized: 0-16'}],"['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/51/PK305.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/51/PK305.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/51/PK305.jpg', 'https://pc-ap.rtrcdn.com/productimages/front_plus/183x/51/PK305.jpg']"
0,Black Bardot Maxi,"Utterly romantic with ruffled straps and covered buttons, this Flynn Skye maxi dress gives way to a fluid slit skirt.

Also available in Floral.",Black crepe (100% Rayon). Maxi. Flutter sleeves. Square neckline. Elastic waistband. See size and fit tab for length. Imported.,Flynn Skye,207,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': ""Sized: XS-XL, one length available. Regular measures 58'' from shoulder to hemline.""}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/6a/FLN22.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/6a/FLN22.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/6a/FLN22.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/6a/FLN22.jpg'], 'inStock': True}]","[{'size': ""Sized: XS-XL, one length available. Regular measures 58'' from shoulder to hemline.""}]","['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/6a/FLN22.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/6a/FLN22.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/6a/FLN22.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/6a/FLN22.jpg']"
0,Jennifer Combo Dress,"Crafted in this season's hottest color combo, this ruffled Parker wrap dress is as lightweight as it is lovely.","Red printed silk (53% Silk, 47% Viscose). Hourglass. Sleeveless. V-neckline. Hidden side zipper closure. Fully lined. 42"" from shoulder to shortest hemline, 57"" from shoulder to hemline. Imported.",Parker,358,USD,"{'3': 0, '5': 0, 'purchase': 0}","[{'id': 0, 'options': {'sizes': 'Sized: 0-18, one length available. Regular measures 42"" from shoulder to shortest hemline, 57"" from shoulder to hemline.'}, 'images': ['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/49/PK342.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/49/PK342.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/49/PK342.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/49/PK342.jpg'], 'inStock': True}]","[{'size': 'Sized: 0-18, one length available. Regular measures 42"" from shoulder to shortest hemline, 57"" from shoulder to hemline.'}]","['https://pc-ap.rtrcdn.com/productimages/nomodel/183x/49/PK342.jpg', 'https://pc-ap.rtrcdn.com/productimages/front/183x/49/PK342.jpg', 'https://pc-ap.rtrcdn.com/productimages/back/183x/49/PK342.jpg', 'https://pc-ap.rtrcdn.com/productimages/side/183x/49/PK342.jpg']"
